age,gender,state,income,occupation,category,rural,student,disability,scheme_category
56,Female,Uttar Pradesh,31000.0,Student,OBC,No,Yes,No,Education & Scholarships
69,Male,Madhya Pradesh,899000.0,Salaried,OBC,Yes,No,No,Senior Citizen Pension & Healthcare
46,Male,Rajasthan,66400.0,Daily Wage Worker,SC,Yes,No,No,Rural & Urban Livelihood Support
32,Male,Bihar,144400.0,Farmer,ST,Yes,No,No,Agriculture & Farmer Welfare
60,Male,Bihar,400100.0,Student,General,Yes,Yes,No,Education & Scholarships
25,Male,Tamil Nadu,75900.0,Student,OBC,Yes,Yes,Yes,Social Welfare & Disability Support
38,Male,Kerala,146600.0,Student,ST,Yes,Yes,No,Education & Scholarships
56,Female,West Bengal,55600.0,Student,SC,No,Yes,No,Education & Scholarships
75,Female,Uttar Pradesh,120500.0,Salaried,General,Yes,No,No,Senior Citizen Pension & Healthcare
36,Male,Rajasthan,65100.0,Self-Employed,General,No,No,Yes,Social Welfare & Disability Support
40,Male,West Bengal,111400.0,Daily Wage Worker,General,No,No,No,Rural & Urban Livelihood Support
28,Female,Uttar Pradesh,114200.0,Unemployed,General,No,No,No,Women & Child Development
28,Male,Kerala,927600.0,Unemployed,ST,Yes,No,No,Rural & Urban Livelihood Support
41,Male,Rajasthan,977100.0,Salaried,OBC,No,No,No,Rural & Urban Livelihood Support
70,Female,Uttar Pradesh,51900.0,Salaried,OBC,No,No,No,Senior Citizen Pension & Healthcare
53,Transgender,West Bengal,263000.0,Artisan,OBC,Yes,No,No,Skill Development & Entrepreneurship
57,Male,Maharashtra,39600.0,Salaried,OBC,Yes,No,No,Rural & Urban Livelihood Support
41,Female,Bihar,35500.0,Daily Wage Worker,OBC,Yes,No,No,Women & Child Development
20,Male,Gujarat,50000.0,Student,OBC,No,Yes,No,Education & Scholarships
39,Female,Karnataka,635900.0,Daily Wage Worker,OBC,Yes,No,No,Women & Child Development
70,Male,Madhya Pradesh,539000.0,Daily Wage Worker,OBC,Yes,No,No,Senior Citizen Pension & Healthcare
19,Male,Gujarat,68800.0,Salaried,OBC,No,No,No,Rural & Urban Livelihood Support
41,Female,Rajasthan,61700.0,Farmer,OBC,Yes,No,No,Agriculture & Farmer Welfare
61,Male,Rajasthan,79500.0,Self-Employed,General,No,No,No,Senior Citizen Pension & Healthcare
47,Male,Uttar Pradesh,160500.0,Student,General,Yes,Yes,No,Education & Scholarships
55,Female,Bihar,181800.0,Farmer,OBC,No,No,No,Agriculture & Farmer Welfare
19,Female,Kerala,75100.0,Student,General,Yes,Yes,No,Education & Scholarships
38,Male,Tamil Nadu,284400.0,Self-Employed,EWS,Yes,No,No,Skill Development & Entrepreneurship
50,Female,Uttar Pradesh,96700.0,Unemployed,EWS,No,No,No,Women & Child Development
29,Female,Tamil Nadu,489500.0,Farmer,OBC,Yes,No,No,Agriculture & Farmer Welfare
75,Female,Karnataka,222500.0,Self-Employed,SC,Yes,No,Yes,Social Welfare & Disability Support
39,Female,West Bengal,133200.0,Farmer,OBC,No,No,No,Agriculture & Farmer Welfare
61,Male,Uttar Pradesh,310800.0,Student,OBC,Yes,Yes,No,Education & Scholarships
42,Male,Karnataka,336600.0,Self-Employed,OBC,No,No,No,Skill Development & Entrepreneurship
66,Female,Madhya Pradesh,91800.0,Student,OBC,Yes,Yes,No,Education & Scholarships
44,Male,Uttar Pradesh,104700.0,Self-Employed,General,Yes,No,No,Skill Development & Entrepreneurship
59,Female,Bihar,524700.0,Student,SC,Yes,Yes,No,Education & Scholarships
45,Male,Bihar,62400.0,Student,SC,No,Yes,No,Education & Scholarships
33,Male,Rajasthan,37800.0,Self-Employed,OBC,Yes,No,No,Skill Development & Entrepreneurship
32,Female,Madhya Pradesh,138900.0,Self-Employed,OBC,No,No,Yes,Social Welfare & Disability Support
64,Male,Rajasthan,320800.0,Student,OBC,No,Yes,No,Education & Scholarships
68,Male,Tamil Nadu,295900.0,Self-Employed,OBC,Yes,No,Yes,Social Welfare & Disability Support
61,Female,Gujarat,483600.0,Unemployed,EWS,No,No,No,Senior Citizen Pension & Healthcare
72,Female,Kerala,167100.0,Daily Wage Worker,SC,No,No,No,Senior Citizen Pension & Healthcare
69,Female,Madhya Pradesh,49000.0,Student,EWS,Yes,Yes,No,Education & Scholarships
74,Male,West Bengal,189900.0,Self-Employed,SC,Yes,No,No,Senior Citizen Pension & Healthcare
20,Male,Kerala,301200.0,Daily Wage Worker,General,Yes,No,No,Skill Development & Entrepreneurship
54,Male,Kerala,47600.0,Student,General,No,Yes,No,Education & Scholarships
68,Male,Maharashtra,64100.0,Unemployed,General,No,No,No,Senior Citizen Pension & Healthcare
24,Male,Uttar Pradesh,32200.0,Salaried,General,Yes,No,No,Rural & Urban Livelihood Support
38,Male,West Bengal,192100.0,Unemployed,SC,Yes,No,No,Rural & Urban Livelihood Support
26,Male,Madhya Pradesh,422000.0,Unemployed,General,No,No,No,Rural & Urban Livelihood Support
56,Female,Rajasthan,229900.0,Daily Wage Worker,OBC,Yes,No,No,Women & Child Development
35,Male,Tamil Nadu,753500.0,Self-Employed,SC,No,No,No,Skill Development & Entrepreneurship
21,Male,Uttar Pradesh,41700.0,Daily Wage Worker,ST,Yes,No,No,Rural & Urban Livelihood Support
42,Female,Maharashtra,449900.0,Unemployed,General,No,No,No,Rural & Urban Livelihood Support
31,Male,Tamil Nadu,332800.0,Daily Wage Worker,SC,No,No,Yes,Social Welfare & Disability Support
67,Female,Madhya Pradesh,97900.0,Farmer,OBC,Yes,No,No,Senior Citizen Pension & Healthcare
75,Male,Gujarat,683700.0,Farmer,General,Yes,No,No,Senior Citizen Pension & Healthcare
26,Male,Kerala,91100.0,Salaried,OBC,Yes,No,No,Rural & Urban Livelihood Support
43,Female,Maharashtra,426200.0,Student,OBC,Yes,Yes,No,Education & Scholarships
70,Female,Tamil Nadu,412800.0,Daily Wage Worker,General,Yes,No,No,Senior Citizen Pension & Healthcare
19,Female,Rajasthan,285100.0,Salaried,OBC,No,No,No,Women & Child Development
37,Male,Maharashtra,179200.0,Daily Wage Worker,SC,Yes,No,No,Rural & Urban Livelihood Support
45,Female,Tamil Nadu,53000.0,Salaried,ST,Yes,No,No,Social Welfare & Disability Support
64,Male,Maharashtra,166700.0,Daily Wage Worker,OBC,No,No,No,Senior Citizen Pension & Healthcare
24,Female,Rajasthan,109400.0,Student,SC,No,Yes,No,Education & Scholarships
61,Transgender,Rajasthan,312800.0,Unemployed,General,Yes,No,No,Senior Citizen Pension & Healthcare
25,Male,West Bengal,285500.0,Farmer,OBC,No,No,No,Agriculture & Farmer Welfare
64,Male,Bihar,464700.0,Artisan,General,No,No,Yes,Social Welfare & Disability Support
52,Male,Kerala,32700.0,Farmer,General,Yes,No,No,Agriculture & Farmer Welfare
31,Female,Uttar Pradesh,328100.0,Farmer,General,Yes,No,No,Agriculture & Farmer Welfare
34,Male,Uttar Pradesh,531900.0,Artisan,ST,Yes,No,No,Skill Development & Entrepreneurship
53,Female,Madhya Pradesh,310300.0,Farmer,General,No,No,No,Agriculture & Farmer Welfare
67,Female,Karnataka,55100.0,Self-Employed,EWS,No,No,No,Senior Citizen Pension & Healthcare
57,Female,Madhya Pradesh,45300.0,Unemployed,General,No,No,No,Women & Child Development
21,Female,Karnataka,33800.0,Farmer,OBC,Yes,No,No,Agriculture & Farmer Welfare
19,Female,Maharashtra,208400.0,Farmer,General,Yes,No,No,Agriculture & Farmer Welfare
23,Male,Karnataka,208800.0,Daily Wage Worker,OBC,No,Yes,No,Education & Scholarships
71,Transgender,Bihar,810500.0,Daily Wage Worker,General,Yes,No,No,Senior Citizen Pension & Healthcare
59,Female,Bihar,121400.0,Salaried,SC,Yes,No,No,Women & Child Development
21,Male,Kerala,102600.0,Student,General,Yes,Yes,No,Education & Scholarships
71,Female,Tamil Nadu,206300.0,Unemployed,OBC,No,No,No,Senior Citizen Pension & Healthcare
46,Male,Uttar Pradesh,344400.0,Self-Employed,General,Yes,No,No,Skill Development & Entrepreneurship
35,Male,Kerala,527000.0,Self-Employed,OBC,Yes,No,No,Skill Development & Entrepreneurship
43,Male,Bihar,322500.0,Student,SC,No,Yes,No,Education & Scholarships
61,Male,Tamil Nadu,130100.0,Artisan,SC,Yes,No,No,Senior Citizen Pension & Healthcare
51,Female,Madhya Pradesh,211400.0,Farmer,EWS,No,No,No,Agriculture & Farmer Welfare
27,Male,Uttar Pradesh,379200.0,Farmer,OBC,No,No,No,Agriculture & Farmer Welfare
53,Male,West Bengal,151400.0,Self-Employed,General,Yes,No,No,Skill Development & Entrepreneurship
