feature,importance
num__annual_income,0.4396191904890561
cat__category_GENERAL,0.12000286890731841
num__bpl_status,0.05854582483068359
num__age,0.042952501616286276
cat__gender_FEMALE,0.03687142795574565
cat__category_OBC,0.03562479948550136
num__land_ownership,0.034370603789879446
cat__gender_MALE,0.02843226344906413
cat__marital_status_SINGLE,0.024746242759555354
cat__category_SC,0.01724642414907157
cat__marital_status_MARRIED,0.016008333647265678
cat__category_ST,0.010935757889357555
num__disability_status,0.01022313219284817
cat__occupation_FARMER,0.00928708393032381
cat__category_EWS,0.007169923391022747
cat__employment_status_EMPLOYED,0.005907917347834735
cat__rural_urban_status_RURAL,0.005791995247476561
cat__employment_status_SELF_EMPLOYED,0.005683702152818749
cat__rural_urban_status_URBAN,0.005250823416045213
cat__employment_status_UNEMPLOYED,0.004876460313155607
cat__occupation_STUDENT,0.004587787669654405
cat__marital_status_WIDOWED,0.004488847015236706
cat__occupation_SELF_EMPLOYED,0.0044297977012467725
cat__employment_status_STUDENT,0.004345520337981803
cat__state_UTTAR_PRADESH,0.00419796751346648
cat__rural_urban_status_SEMI_URBAN,0.0041845607616147595
cat__state_WEST_BENGAL,0.004144220966695158
cat__state_KERALA,0.004127444195893655
cat__state_BIHAR,0.004111265240697841
cat__occupation_SALARIED,0.004063571599050368
cat__state_TAMIL_NADU,0.0040223698711972095
cat__state_MAHARASHTRA,0.004010568973549938
cat__state_MADHYA_PRADESH,0.003970441558517513
cat__state_GUJARAT,0.003680568521667578
cat__state_KARNATAKA,0.0035865146788760256
cat__state_RAJASTHAN,0.003582516744554915
cat__gender_TRANSGENDER,0.0035219968477208994
cat__occupation_UNEMPLOYED,0.003519403598491955
cat__occupation_DAILY_WAGE_WORKER,0.003147984921317794
cat__occupation_ARTISAN,0.0025462712333059285
cat__marital_status_DIVORCED,0.002183103088951517
